,imo,avg_speed_kn,load_cond,cargo_unit,cargo_amt,me_fuel_type,ae_fuel_type,boiler_fuel_type,estimated_distance_nm,duration_h,me_fuel_cons_metric_metric_tons,ae_fuel_cons_metric_metric_tons,boiler_fuel_cons_metric_metric_tons,total_co2_emission_metric_tons,total_so2_emission_metric_tons,total_particulate_matter_emission_metric_tons,total_nox_emission_metric_tons,total_nmvoc_emission_metric_tons,total_ch4_emission_metric_tons,total_n2o_emission_metric_tons,total_co_emission_metric_tons,total_black_carbon_emission_metric_tons,total_organic_carbon_emission_metric_tons,transport_work,eeoi
0,9602356,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,11.06835382255665,2.16774806094,0.0,41.21722126520857,0.1293868667417448,0.04698166559462766,0.7730285868201965,0.037000458806057485,0.0007400091761211497,0.002117776301359464,0.03511481292545174,0.002382498339029397,0.008047549945165964,,
1,9593787,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,12.131107280303146,2.16774806094,0.0,44.526635532631154,0.13977560061725414,0.050135920931057794,0.8334683674374388,0.03985850368039592,0.0007971700736079184,0.0022878168545989036,0.03768705331235633,0.002573793961423766,0.008693704047475832,,
2,9907847,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,6.511845844481119,3.5096873367599994,1.464,35.76595032638484,0.11227453250658632,0.03830228440693166,0.5474117606226064,0.025986448314155114,0.0005197289662831023,0.0018376853089985793,0.0268534034827396,0.002067395972623401,0.006093092174194599,,
3,9552989,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,10.236020770497829,2.16774806094,0.0,38.6253361410974,0.12125056145795418,0.04266979757296476,0.7088676626430479,0.033943634685823613,0.0006788726937164724,0.0019846030130300524,0.032363671217241256,0.0022326783896588092,0.007541491449514199,,
4,9681546,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,10.56634507573388,2.16774806094,0.0,39.653966027602465,0.12447958063892817,0.04513966009581743,0.7408236400543035,0.03549395203616851,0.00070987904072337,0.0020374549018678206,0.03375895683255166,0.0022921367646012982,0.007742328627097719,,
5,9860398,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,7.05832552151574,3.5096873367599994,1.464,37.46768804067065,0.11761653529350286,0.03572587361837537,0.42919368218393217,0.02249312272998071,0.0004498624545996142,0.0019251220573241186,0.026496732548379167,0.002165762314489633,0.006425351817831649,,
6,9569229,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,10.33016311980377,1.34193927582,0.0,36.34692685997242,0.11409830254794107,0.04118352126315822,0.6901251805730519,0.033048559548883735,0.0006609711909776748,0.0018675363832998035,0.030866903593995364,0.0021009784312122784,0.007096638256539252,,
7,9640592,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,10.590194236687209,1.34193927582,0.0,37.15666375794745,0.11664018472481172,0.04057645123772404,0.691254916213686,0.033135037657465026,0.0006627007531493005,0.0019091413620011537,0.030944733891718524,0.002147784032251298,0.007254737175604382,,
8,9930430,10.0,ballast,tons,,HFO,HFO,HFO,240.0,24.0,7.078084981983684,2.16774806094,0.732,31.07097209566435,0.09753631134449191,0.031257553064769975,0.4992201559151006,0.023792615030875874,0.00047585230061751745,0.0015964532868677896,0.023491753527788286,0.001796009947726263,0.0056214664900976,,
